id,label,weight,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_28_0,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_13_126,gab_feed1_ver4.gab_feed1.main_BasicBlock_153_82,gab_feed1_ver4.ModPow.modPow_BasicBlock_11_84,gab_feed1_ver4.gab_feed1.main_BasicBlock_116_22,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_31_31,gab_feed1_ver4.gab_feed1.main_BasicBlock_157_147,gab_feed1_ver4.gab_feed1.main_BasicBlock_87_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_18_116,gab_feed1_ver4.gab_feed1.main_BasicBlock_162_186,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_17_53,gab_feed1_ver4.KeyExchangeServer.generateMasterSecret_BasicBlock_80_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_13_28,gab_feed1_ver4.gab_feed1.main_BasicBlock_152_67,gab_feed1_ver4.gab_feed1.main_BasicBlock_155_192,gab_feed1_ver4.ModPow.modPow_BasicBlock_9_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_11_98,gab_feed1_ver4.gab_feed1.main_BasicBlock_153_98,gab_feed1_ver4.gab_feed1.main_BasicBlock_150_44,gab_feed1_ver4.gab_feed1.main_BasicBlock_155_128,gab_feed1_ver4.gab_feed1.callGenerator_BasicBlock_46_0,gab_feed1_ver4.gab_feed1.main_BasicBlock_156_144,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_18_72
19,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2944,0,0,1,1,0,0,0,1,1,3.0y+0.0
20,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2880,0,0,1,1,0,0,0,1,1,3.0y+0.0
21,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2816,0,0,1,1,0,0,0,1,1,3.0y+0.0
22,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2752,0,0,1,1,0,0,0,1,1,3.0y+0.0
23,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2688,0,0,1,1,0,0,0,1,1,3.0y+0.0
24,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2624,0,0,1,1,0,0,0,1,1,3.0y+0.0
25,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2560,0,0,1,1,0,0,0,1,1,3.0y+0.0
26,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2496,0,0,1,1,0,0,0,1,1,3.0y+0.0
27,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2432,0,0,1,1,0,0,0,1,1,3.0y+0.0
28,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2368,0,0,1,1,0,0,0,1,1,3.0y+0.0
29,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2304,0,0,1,1,0,0,0,1,1,3.0y+0.0
30,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2240,0,0,1,1,0,0,0,1,1,3.0y+0.0
31,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2176,0,0,1,1,0,0,0,1,1,3.0y+0.0
32,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2112,0,0,1,1,0,0,0,1,1,3.0y+0.0
33,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,2048,0,0,1,1,0,0,0,1,1,3.0y+0.0
34,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1984,0,0,1,1,0,0,0,1,1,3.0y+0.0
35,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1920,0,0,1,1,0,0,0,1,1,3.0y+0.0
36,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1856,0,0,1,1,0,0,0,1,1,3.0y+0.0
37,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1792,0,0,1,1,0,0,0,1,1,3.0y+0.0
38,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1728,0,0,1,1,0,0,0,1,1,3.0y+0.0
39,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1664,0,0,1,1,0,0,0,1,1,3.0y+0.0
40,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1600,0,0,1,1,0,0,0,1,1,3.0y+0.0
41,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1536,0,0,1,1,0,0,0,1,1,3.0y+0.0
42,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1472,0,0,1,1,0,0,0,1,1,3.0y+0.0
43,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1408,0,0,1,1,0,0,0,1,1,3.0y+0.0
44,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1344,0,0,1,1,0,0,0,1,1,3.0y+0.0
45,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,1280,0,0,1,1,0,0,0,1,1,3.0y+0.0
