id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63
21,994.0,594.6,987.3,659.5,1053.7,694.5,1108.5,649.7,1059.4,674.6,1082.0,766.9,1145.4,772.7,1205.1,702.4,1120.0,759.7,1144.9,738.9,1147.2,811.8,1186.7,745.2,1149.2,750.0,1134.7,743.9,1176.2,789.7,1201.4,812.5,1218.7,861.3,1226.4,859.4,1234.1,870.8,1284.6,792.1,1204.5,866.6,1271.0,904.3,1291.1,922.3,1302.3,802.1,1219.0,820.7,1228.1,813.2,1232.2,870.2,1303.2,837.6,1215.9,855.1,1286.2,872.7,1308.1,908.1,1303.3,796.9
22,1002.5,601.1,994.8,697.5,1125.8,768.1,1175.7,702.3,1101.0,791.8,1189.0,827.6,1245.6,894.1,1309.9,765.9,1195.5,860.1,1242.0,831.5,1225.9,926.4,1305.7,755.4,1187.7,846.6,1298.5,848.8,1250.0,921.8,1283.1,846.5,1269.9,933.7,1344.8,893.6,1291.4,953.4,1338.1,891.4,1350.7,972.3,1357.8,925.2,1332.8,1004.0,1433.8,833.2,1234.9,918.1,1338.1,861.1,1304.5,934.8,1340.0,894.4,1326.9,956.8,1387.2,892.9,1334.2,1002.1,1395.2,825.5
23,1091.0,615.6,1050.4,709.6,1142.5,746.2,1166.0,684.5,1138.2,703.7,1143.7,823.0,1236.8,805.7,1264.4,786.3,1193.6,778.9,1237.8,845.9,1204.4,849.3,1282.7,753.1,1203.9,781.5,1225.9,819.0,1226.1,862.0,1268.1,832.3,1265.7,904.5,1308.4,889.9,1271.8,904.5,1378.3,879.5,1311.9,921.5,1327.9,946.3,1362.7,931.8,1389.1,849.2,1280.4,848.0,1310.4,836.5,1331.5,911.7,1317.9,871.8,1320.9,873.8,1369.1,901.1,1346.0,944.6,1378.8,830.6
24,1083.0,656.5,1097.3,713.3,1156.7,741.7,1175.7,714.3,1164.1,726.6,1181.8,807.6,1246.6,820.5,1290.6,763.9,1257.0,779.2,1246.2,814.2,1287.3,856.0,1276.5,752.6,1202.2,812.0,1237.7,817.0,1245.2,842.3,1287.4,853.2,1282.1,894.3,1338.0,906.3,1318.1,917.7,1424.0,865.6,1327.5,903.2,1340.7,909.6,1361.2,960.1,1433.9,849.4,1329.5,861.2,1331.4,853.5,1318.8,917.8,1376.8,905.0,1307.0,890.9,1357.9,905.6,1346.7,935.6,1422.3,845.7
25,1092.3,653.7,1115.8,749.1,1227.2,817.2,1296.9,760.6,1230.7,877.9,1271.8,840.0,1318.8,915.0,1401.1,808.3,1305.6,890.5,1356.6,873.6,1334.2,969.4,1368.1,838.5,1263.7,904.0,1355.7,850.0,1386.7,946.0,1373.8,884.3,1370.1,1009.9,1398.3,944.8,1414.6,1009.4,1459.5,923.1,1381.0,999.5,1435.3,945.7,1415.5,1008.7,1503.4,881.6,1375.8,949.6,1409.5,893.9,1396.2,1019.1,1471.6,934.0,1378.9,976.2,1447.1,932.6,1410.5,1022.5,1485.9,898.6
26,1176.3,680.4,1159.6,727.1,1235.0,766.3,1275.3,728.9,1204.8,790.1,1246.7,845.4,1337.8,856.7,1360.4,801.3,1314.2,827.0,1344.4,840.2,1307.0,900.6,1335.8,836.8,1292.0,850.5,1310.8,824.7,1341.5,903.0,1362.4,894.7,1383.5,926.1,1376.1,942.5,1409.2,983.6,1474.0,914.9,1359.0,929.5,1404.4,944.7,1432.5,996.9,1460.4,887.0,1391.3,894.7,1364.5,910.8,1376.7,972.8,1455.9,910.1,1409.5,947.3,1431.7,945.4,1419.0,993.7,1482.6,891.6
27,1168.9,698.2,1172.7,745.4,1229.3,768.8,1271.4,726.6,1273.3,803.1,1294.3,817.7,1382.0,849.6,1399.0,808.8,1344.4,828.1,1355.8,846.9,1337.7,897.3,1349.2,813.7,1300.1,858.3,1380.6,852.5,1359.9,865.7,1658.4,892.6,1422.6,903.0,1409.6,887.1,1432.6,973.0,1483.7,891.8,1392.0,962.6,1441.0,978.0,1452.0,993.5,1483.8,886.3,1418.6,918.2,1390.9,1243.4,1395.0,965.7,1465.2,922.4,1430.7,957.8,1455.3,980.1,1436.3,1032.1,1491.5,922.6
28,1222.0,668.8,1224.0,801.9,1357.3,876.2,1352.9,785.8,1337.4,881.6,1419.9,883.8,1428.7,972.2,1489.7,840.7,1383.1,950.8,1468.3,879.5,1407.6,1016.9,1449.0,1167.6,1363.7,933.4,1451.1,901.0,1426.9,974.8,1487.2,920.6,1477.6,1019.3,1487.9,962.0,1474.8,1063.1,1546.3,973.2,1475.9,1066.4,1523.2,987.0,1491.6,1070.4,1555.5,923.5,1458.5,1004.9,1504.0,980.3,1471.4,1028.9,1513.3,1009.5,1494.2,1048.6,1559.0,1011.3,1504.6,1068.1,1592.5,937.4
29,1211.5,712.4,1222.9,780.6,1343.5,804.6,1327.7,803.5,1315.4,819.7,1361.9,857.1,1427.1,922.1,1443.2,847.9,1378.8,892.0,1428.4,892.3,1405.9,920.1,1420.0,848.2,1369.0,901.2,1430.5,858.5,1438.6,911.7,1451.1,928.5,1482.1,941.1,1508.0,924.9,1471.5,999.2,1536.4,974.1,1858.7,972.8,1531.1,1013.2,1517.9,1045.6,1586.5,933.9,1486.4,970.9,1484.1,966.3,1475.1,996.8,1530.1,975.6,1493.7,979.9,1503.6,996.1,1534.6,1047.9,1571.3,936.8
30,1278.4,751.1,1289.6,773.3,1370.4,815.1,1338.1,789.0,1337.3,794.4,1370.4,891.9,1453.9,936.1,1461.5,837.2,1408.1,879.4,1454.6,885.7,1445.3,927.5,1448.5,870.8,1685.4,884.9,1457.5,898.1,1486.3,935.9,1469.5,943.0,1478.2,967.2,1500.6,957.8,1487.4,1052.0,1561.6,989.1,1502.5,994.1,1575.1,1019.3,1583.4,1041.6,1582.9,945.4,1538.8,944.4,1814.8,948.2,1521.4,1007.4,1565.2,953.0,1491.2,993.1,1534.7,1017.6,1568.4,1031.6,1568.9,939.6
