id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49
11,11982.863,11850.442,11964.907,11982.705,11858.443,11974.907,11848.319,11979.55,11983.507,11979.953,22849.332,22918.815,22844.53,22935.498,22983.902,34260.752,33976.741,33986.709,33860.066,34023.295,44786.08,44851.521,44980.429,44847.647,44976.695,45087.985,44932.425,45026.495,44982.376,44979.574,55929.215,55981.73,55783.165,55986.265,55977.482,67026.563,66984.912,67062.245,66984.41,67005.672,78044.844,77989.833,77982.496,77992.884,78020.804,88988.682,88968.824,89103.385,88982.23,88855.231
12,13073.332,12934.202,12929.9,12936.43,12930.364,12955.121,13078.434,13075.504,12926.229,12960.561,25075.333,25077.586,25120.092,25186.581,24934.536,37077.531,37077.045,37007.403,37078.381,37078.341,49004.768,48997.075,49073.241,49083.522,49066.53,49078.812,49078.127,49010.025,49005.261,49082.232,61081.485,61082.727,61083.728,61182.351,61078.535,73089.34,73198.722,73083.461,73168.631,73082.97,85093.602,85121.717,85081.843,84967.416,85081.459,97197.587,97082.173,97083.856,96932.74,97201.017
13,14010.805,14336.866,14089.529,14007.124,13932.208,14164.439,14013.774,14168.665,14007.888,14014.258,27167.499,27070.665,26979.693,27162.575,27007.452,40179.436,40288.23,40174.793,40126.96,40175.492,53179.794,53219.548,53315.467,53167.732,53173.765,53173.873,53172.821,53207.173,53084.436,53180.228,66084.186,66173.45,66186.146,66267.978,66213.058,79174.529,79178.727,79301.245,78990.414,79172.435,92092.204,92178.663,92176.972,92169.45,92214.411,105019.348,105175.416,105222.79,105084.055,105111.015
14,15267.324,15088.281,15099.582,15265.663,15266.59,15151.62,15273.359,15268.032,15263.644,15311.996,29267.234,29263.546,29263.581,29083.778,29109.966,43274.16,43284.454,43273.604,43276.661,43276.548,57269.131,57310.273,57266.585,57052.415,57083.88,57310.062,57276.746,57091.092,57319.993,57272.458,71091.44,71275.111,71087.974,71289.092,71272.434,85282.513,85269.937,85269.26,85164.208,85292.652,99272.513,99303.339,99319.877,99149.161,99273.701,113277.564,113283.26,113273.875,113265.594,113368.94
15,16369.666,16253.373,16360.997,16471.722,16369.248,16367.977,16174.039,16355.065,16149.525,16367.937,31167.68,31326.278,31356.653,31362.369,31361.201,46167.629,46368.521,46371.252,46240.761,46169.458,61368.708,61124.086,61169.017,61239.114,61241.539,61367.082,61401.512,61376.273,61364.604,61360.306,76366.267,76375.488,76372.745,76374.24,76374.729,91357.938,91377.124,91244.794,91257.483,91363.39,106420.652,106245.204,106381.615,106374.027,106170.109,121377.257,121172.434,121385.08,121201.443,121491.403
16,17417.559,17461.007,17462.232,17244.206,17143.614,17242.913,17459.809,17270.84,17451.453,17312.369,33462.856,33240.918,33246.406,33318.304,33245.783,49470.964,49467.329,49466.066,49466.592,49251.934,65471.112,65457.506,65458.072,65334.08,65534.842,65450.279,65538.144,65571.429,65461.605,65327.109,81464.035,81475.542,81450.006,81452.594,81608.802,97470.036,97463.76,97469.169,97456.731,97461.038,113467.731,113324.52,113466.579,113468.298,113468.057,129474.9,129635.042,129461.83,129467.598,129504.375
17,18598.432,18467.289,18549.657,18548.121,18557.261,18331.115,18540.268,18536.238,18601.651,18558.357,35564.461,35329.523,35558.903,35558.359,35323.797,52327.488,52555.176,52529.895,52556.359,52559.266,69402.339,69557.925,69554.843,69557.945,69555.776,69545.441,69560.927,69548.137,69231.669,69548.416,86565.683,86558.947,86560.736,86564.277,86641.387,103556.735,103561.445,103486.567,103595.017,103556.128,120572.262,120556.882,120597.596,120561.237,120423.384,137561.489,137546.839,137605.268,137611.044,137674.576
18,19647.154,19652.359,19497.97,19401.72,19419.401,19398.994,19650.236,19656.737,19642.91,19724.668,37649.026,37651.895,37603.511,37649.553,37471.538,55434.573,55408.009,55659.513,55695.701,55659.177,73344.114,73491.189,73495.954,73647.081,73651.484,73643.427,73651.962,73653.4,73652.544,73488.071,91665.989,91603.991,92078.254,91663.767,91661.213,109663.656,109658.224,109657.55,109654.672,109767.053,127659.902,127657.391,127652.172,127656.727,127486.927,145662.553,145657.256,145410.258,145663.254,145584.648
19,20478.537,20749.602,20777.117,20773.176,20738.944,20108.238,20433.669,20480.226,20740.38,20747.528,39403.467,39753.457,39750.272,39755.66,39740.242,58758.498,58481.452,58748.182,58772.138,58709.453,77754.725,77872.251,77745.997,77757.338,77746.355,77747.605,77742.975,77694.05,77751.595,77755.619,96701.649,96749.918,96752.461,96496.788,96871.293,115486.366,115747.181,115571.273,115752.251,115733.206,134558.884,134403.667,134752.2,134805.196,134754.315,153791.105,153752.305,153753.275,153379.993,153746.98
20,21815.609,21665.78,21581.924,21871.027,21845.881,21828.493,21921.844,21563.75,21696.456,21842.917,41570.377,41745.81,41841.824,41842.706,41565.837,61847.972,61856.139,61849.514,61849.68,61811.265,81865.217,81855.949,81954.368,81920.974,81639.777,81851.593,81846.512,81848.396,81834.669,81866.144,101844.236,101924.567,101856.163,101850.397,101666.846,121693.628,121894.268,121618.359,121846.368,121853.88,141848.876,141842.649,141441.272,141844.1,141855.715,161851.534,161940.314,161854.303,161843.772,161442.689
